Treatment,gene_id,gene_name,protein,spid,gene_ontology_biological_process
Severe OA (pH 7.5),GWK47_045088,Mad2l1,Mitotic spindle assembly checkpoint protein MAD2A,Q9Z1B5,cell division [GO:0051301]; establishment of centrosome localization [GO:0051660]; establishment of mitotic spindle orientation [GO:0000132]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of mitotic metaphase/anaphase transition [GO:0045841]; negative regulation of protein catabolic process [GO:0042177]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]
Severe OA (pH 7.5),GWK47_047191,kug_1,Fat-like cadherin-related tumor suppressor,Q9VW71,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; centripetally migrating follicle cell migration [GO:0060269]; defense response to Gram-negative bacterium [GO:0050829]; establishment of planar polarity of follicular epithelium [GO:0042247]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; foregut morphogenesis [GO:0007440]; growth of a germarium-derived egg chamber [GO:0007295]; hindgut morphogenesis [GO:0007442]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; oogenesis [GO:0048477]; open tracheal system development [GO:0007424]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of innate immune response [GO:0045089]; protein localization to cell leading edge [GO:1902463]; salivary gland development [GO:0007431]
Severe OA (pH 7.5),GWK47_007024,Tdrd9,ATP-dependent RNA helicase TDRD9,B8A4F4,cell differentiation [GO:0030154]; fertilization [GO:0009566]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; piRNA processing [GO:0034587]; spermatogenesis [GO:0007283]; transposable element silencing by piRNA-mediated DNA methylation [GO:0141196]; transposable element silencing by piRNA-mediated heterochromatin formation [GO:0141006]
Severe OA (pH 7.5),GWK47_007361,Hdhd5,Haloacid dehalogenase-like hydrolase domain-containing 5,Q91WM2,
Severe OA (pH 7.5),GWK47_053446,CBS,Cystathionine beta-synthase,P35520,blood vessel diameter maintenance [GO:0097746]; blood vessel remodeling [GO:0001974]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to hypoxia [GO:0071456]; cerebellum morphogenesis [GO:0021587]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process from serine [GO:0006535]; cysteine biosynthetic process via cystathionine [GO:0019343]; DNA protection [GO:0042262]; endochondral ossification [GO:0001958]; homocysteine catabolic process [GO:0043418]; homocysteine metabolic process [GO:0050667]; hydrogen sulfide biosynthetic process [GO:0070814]; L-cysteine catabolic process [GO:0019448]; L-serine catabolic process [GO:0006565]; L-serine metabolic process [GO:0006563]; maternal process involved in female pregnancy [GO:0060135]; negative regulation of apoptotic process [GO:0043066]; regulation of JNK cascade [GO:0046328]; regulation of nitric oxide mediated signal transduction [GO:0010749]; response to folic acid [GO:0051593]; superoxide metabolic process [GO:0006801]; transsulfuration [GO:0019346]
Severe OA (pH 7.5),GWK47_008839,Hsp22_2,Heat shock protein 22,,
Severe OA (pH 7.5),GWK47_010369,NUP43,Nucleoporin Nup43,P59235,cell division [GO:0051301]; chromosome segregation [GO:0007059]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Severe OA (pH 7.5),GWK47_012729,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_013129,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_013245,USP9X_1,putative ubiquitin carboxyl-terminal hydrolase FAF-X,Q93008,"amyloid fibril formation [GO:1990000]; axon extension [GO:0048675]; BMP signaling pathway [GO:0030509]; cell division [GO:0051301]; cell migration [GO:0016477]; chromosome segregation [GO:0007059]; cilium assembly [GO:0060271]; cytosolic ciliogenesis [GO:0061824]; DNA alkylation repair [GO:0006307]; female gamete generation [GO:0007292]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron migration [GO:0001764]; positive regulation of protein binding [GO:0032092]; positive regulation of TORC2 signaling [GO:1904515]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; protein import into peroxisome matrix, receptor recycling [GO:0016562]; protein K63-linked deubiquitination [GO:0070536]; protein localization [GO:0008104]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of protein stability [GO:0031647]; rhythmic process [GO:0048511]; transforming growth factor beta receptor signaling pathway [GO:0007179]"
Severe OA (pH 7.5),GWK47_013748,,Lissencephaly-1,B7PS00,brain morphogenesis [GO:0048854]; cell division [GO:0051301]; establishment of mitotic spindle orientation [GO:0000132]; germ cell development [GO:0007281]; microtubule organizing center organization [GO:0031023]; microtubule sliding [GO:0051012]; nuclear migration [GO:0007097]; retrograde axonal transport [GO:0008090]; vesicle transport along microtubule [GO:0047496]
Severe OA (pH 7.5),GWK47_001661,SIRT4,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",Q8R216,cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; glutamine metabolic process [GO:0006541]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of fatty acid oxidation [GO:0046322]; negative regulation of insulin secretion [GO:0046676]; negative regulation of protein processing involved in protein targeting to mitochondrion [GO:1903217]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of lipid biosynthetic process [GO:0046889]; regulation of glutamine family amino acid metabolic process [GO:0000820]; regulation of pyruvate dehydrogenase activity [GO:1904182]; tricarboxylic acid metabolic process [GO:0072350]
Severe OA (pH 7.5),GWK47_014799,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_016383,LHCGR,Lutropin-choriogonadotropic hormone receptor,P22888,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to gonadotropin stimulus [GO:0071371]; cellular response to luteinizing hormone stimulus [GO:0071373]; cognition [GO:0050890]; development of secondary male sexual characteristics [GO:0046544]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; hormone-mediated signaling pathway [GO:0009755]; luteinizing hormone signaling pathway [GO:0042700]; male genitalia development [GO:0030539]; male gonad development [GO:0008584]; ovarian follicle development [GO:0001541]; ovulation cycle process [GO:0022602]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of inositol trisphosphate biosynthetic process [GO:0032962]; regulation of steroid hormone biosynthetic process [GO:0090030]; seminiferous tubule development [GO:0072520]; spermatogenesis [GO:0007283]; uterus development [GO:0060065]"
Severe OA (pH 7.5),GWK47_016426,BTF3_0,Transcription factor BTF3,Q6PC91,
Severe OA (pH 7.5),GWK47_016818,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_018134,Phm,Peptidylglycine alpha-hydroxylating monooxygenase,O01404,memory [GO:0007613]; peptide metabolic process [GO:0006518]; regulation of imaginal disc-derived wing size [GO:0044719]; response to fungus [GO:0009620]; sexual reproduction [GO:0019953]
Severe OA (pH 7.5),GWK47_018569,gtb1,Glucosidase 2 subunit beta,,
Severe OA (pH 7.5),GWK47_018958,Cad87A,Cadherin-87A,Q9VGG5,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion mediated by cadherin [GO:0044331]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Severe OA (pH 7.5),GWK47_021649,Hyi_0,putative hydroxypyruvate isomerase,Q5T013,glyoxylate metabolic process [GO:0046487]
Severe OA (pH 7.5),GWK47_021798,CYP2L1_5,Cytochrome P450 2L1,Q27712,organic acid metabolic process [GO:0006082]; xenobiotic metabolic process [GO:0006805]
Severe OA (pH 7.5),GWK47_022650,SULT1B1_0,Sulfotransferase family cytosolic 1B member 1,Q8JG30,sulfation [GO:0051923]; thyroid hormone metabolic process [GO:0042403]
Severe OA (pH 7.5),GWK47_022653,,putative methylmalonate-semialdehyde dehydrogenase [acylating,Q7QC84,thymine catabolic process [GO:0006210]; valine catabolic process [GO:0006574]
Severe OA (pH 7.5),GWK47_023178,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_023311,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_023445,KANK1,KN motif and ankyrin repeat domain-containing protein 1,X1WE18,apoptotic process [GO:0006915]; glomerular basement membrane development [GO:0032836]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vitamin D receptor signaling pathway [GO:0070563]; podocyte development [GO:0072015]; regulation of Rho protein signal transduction [GO:0035023]
Severe OA (pH 7.5),GWK47_024459,Unc79_0,Protein unc-79,Q0KK59,adult behavior [GO:0030534]; behavioral response to ethanol [GO:0048149]; multicellular organism growth [GO:0035264]; suckling behavior [GO:0001967]
Severe OA (pH 7.5),GWK47_024525,Dxo_0,Decapping and exoribonuclease protein,Q5HZT0,mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; nuclear mRNA surveillance [GO:0071028]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nucleic acid metabolic process [GO:0090304]; RNA destabilization [GO:0050779]
Severe OA (pH 7.5),GWK47_025964,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_026454,TGFBI,Transforming growth factor-beta-induced protein ig-h3,P55906,cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]
Severe OA (pH 7.5),GWK47_027547,lin,Protein lines,Q9V4Z9,"embryonic foregut morphogenesis [GO:0048617]; embryonic hindgut morphogenesis [GO:0048619]; embryonic pattern specification [GO:0009880]; epidermis development [GO:0008544]; foregut morphogenesis [GO:0007440]; hindgut morphogenesis [GO:0007442]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proximal/distal axis specification [GO:0009946]; segment polarity determination [GO:0007367]; spiracle morphogenesis, open tracheal system [GO:0035277]; wing disc development [GO:0035220]; Wnt signaling pathway [GO:0016055]"
Severe OA (pH 7.5),GWK47_027808,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_027809,Dusp13,Dual specificity protein phosphatase 13 isoform A,Q6B8I0,
