Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Moderate OA (pH 7.8)	Higher	GWK47_002626	4172	0.46	0.18	0.0374	1.43	RELN_1	Reelin	Q60841	0	Reelin (EC 3.4.21.-) (Reeler protein)	associative learning [GO:0008306]; axon guidance [GO:0007411]; brain development [GO:0007420]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; central nervous system development [GO:0007417]; cerebral cortex development [GO:0021987]; cerebral cortex tangential migration [GO:0021800]; dendrite development [GO:0016358]; forebrain development [GO:0030900]; glial cell differentiation [GO:0010001]; hippocampus development [GO:0021766]; interneuron migration [GO:1904936]; lateral motor column neuron migration [GO:0097477]; layer formation in cerebral cortex [GO:0021819]; learning [GO:0007612]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; modulation of chemical synaptic transmission [GO:0050804]; motor neuron migration [GO:0097475]; neuron migration [GO:0001764]; NMDA glutamate receptor clustering [GO:0097114]; positive regulation of AMPA receptor activity [GO:2000969]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of lateral motor column neuron migration [GO:1902078]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of TOR signaling [GO:0032008]; postsynaptic density assembly [GO:0097107]; postsynaptic density protein 95 clustering [GO:0097119]; protein localization to synapse [GO:0035418]; proteolysis [GO:0006508]; receptor localization to synapse [GO:0097120]; reelin-mediated signaling pathway [GO:0038026]; regulation of behavior [GO:0050795]; regulation of gene expression [GO:0010468]; regulation of neuron differentiation [GO:0045664]; regulation of neuron migration [GO:2001222]; regulation of NMDA receptor activity [GO:2000310]; regulation of synapse maturation [GO:0090128]; regulation of synaptic activity [GO:0060025]; response to pain [GO:0048265]; spinal cord patterning [GO:0021511]; ventral spinal cord development [GO:0021517]
Moderate OA (pH 7.8)	Higher	GWK47_030913	15737	0.45	0.12	0.0061	2.21	IDH2	Isocitrate dehydrogenase [NADP	Q4R502	8.20E-225	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; NADP metabolic process [GO:0006739]; tricarboxylic acid cycle [GO:0006099]
Moderate OA (pH 7.8)	Higher	GWK47_039831	249	0.43	0.16	0.0375	1.43	ISOC2	Isochorismatase domain-containing protein 2	Q96AB3	3.81E-19	Isochorismatase domain-containing protein 2	protein destabilization [GO:0031648]
Moderate OA (pH 7.8)	Higher	GWK47_028517	2320	0.42	0.16	0.0402	1.40	ade5_2	Multifunctional protein ADE2	Q9I7S8	2.00E-181	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) (Protein adenosine-5) [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	de novo' IMP biosynthetic process [GO:0006189]
Moderate OA (pH 7.8)	Higher	GWK47_047213	1339	0.37	0.15	0.0395	1.40		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_016819	245	0.36	0.12	0.0234	1.63	Wars	Tryptophan--tRNA ligase, cytoplasmic	P17248	5.84E-41	Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]	positive regulation of gene expression [GO:0010628]; positive regulation of protein-containing complex assembly [GO:0031334]; regulation of angiogenesis [GO:0045765]; tryptophanyl-tRNA aminoacylation [GO:0006436]
Moderate OA (pH 7.8)	Higher	GWK47_050988	9464	0.36	0.12	0.0245	1.61	Adarb1_1	Double-stranded RNA-specific editase 1				
Moderate OA (pH 7.8)	Higher	GWK47_010369	316	0.35	0.14	0.0387	1.41	NUP43	Nucleoporin Nup43	P59235	1.08E-39	Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43)	cell division [GO:0051301]; chromosome segregation [GO:0007059]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Moderate OA (pH 7.8)	Higher	GWK47_020174	2460	0.33	0.08	0.0041	2.38	UQCRFS1_1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Q69BJ9	8.57E-15	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	
Moderate OA (pH 7.8)	Higher	GWK47_049413	1734	0.33	0.13	0.0432	1.36	Rbp1_1	RNA-binding protein 1	Q02427	2.78E-42	RNA-binding protein 1	mRNA cis splicing, via spliceosome [GO:0045292]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]; RNA splicing [GO:0008380]
Moderate OA (pH 7.8)	Higher	GWK47_032391	4778	0.32	0.10	0.0195	1.71	Atp5f1d	ATP synthase subunit delta, mitochondrial	P35434	6.29E-42	ATP synthase F(1) complex subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	aerobic respiration [GO:0009060]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to resveratrol [GO:1904638]
Moderate OA (pH 7.8)	Higher	GWK47_053716	1509	0.32	0.12	0.0405	1.39	Amacr	Alpha-methylacyl-CoA racemase	O09174	2.47E-144	Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase)	bile acid biosynthetic process [GO:0006699]; fatty acid metabolic process [GO:0006631]; isoprenoid catabolic process [GO:0008300]
Moderate OA (pH 7.8)	Higher	GWK47_007501	574	0.31	0.09	0.0135	1.87	prmt6	Protein arginine N-methyltransferase 6	Q6NWG4	1.96E-83	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT6)	chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; methylation [GO:0032259]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; regulation of DNA-templated transcription [GO:0006355]
Moderate OA (pH 7.8)	Higher	GWK47_024976	3387	0.31	0.08	0.0105	1.98	MRPS22	28S ribosomal protein S22, mitochondrial	P82650	5.16E-72	Small ribosomal subunit protein mS22 (28S ribosomal protein S22, mitochondrial) (MRP-S22) (S22mt)	mitochondrial translation [GO:0032543]
Moderate OA (pH 7.8)	Higher	GWK47_005824	1566	0.29	0.08	0.0117	1.93	emc2-b	ER membrane protein complex subunit 2-B	Q8AVU9	8.43E-38	ER membrane protein complex subunit 2-B (Tetratricopeptide repeat protein 35-B) (TPR repeat protein 35-B)	protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]
Moderate OA (pH 7.8)	Higher	GWK47_033127	651	0.29	0.10	0.0261	1.58	Agxt	Serine--pyruvate aminotransferase, mitochondrial	Q3LSM4	9.68E-66	Alanine--glyoxylate aminotransferase (EC 2.6.1.44)	glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]; glyoxylate catabolic process [GO:0009436]
Moderate OA (pH 7.8)	Higher	GWK47_045351	4714	0.28	0.09	0.0222	1.65	AHNAK_1	Neuroblast differentiation-associated protein AHNAK				
Moderate OA (pH 7.8)	Higher	GWK47_042301	9454	0.28	0.10	0.0352	1.45	Ndufs2	NADH dehydrogenase [ubiquinone	Q641Y2	7.28E-248	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	cellular response to oxygen levels [GO:0071453]; gliogenesis [GO:0042063]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; neural precursor cell proliferation [GO:0061351]; neurogenesis [GO:0022008]
Moderate OA (pH 7.8)	Higher	GWK47_032457	1983	0.28	0.09	0.0375	1.43	TOR2A	Torsin-2A	Q5JU69	1.57E-12	Torsin-2A (Torsin family 2 member A) (Torsin-related protein 1)	chaperone cofactor-dependent protein refolding [GO:0051085]
Moderate OA (pH 7.8)	Higher	GWK47_021840	4008	0.27	0.09	0.0252	1.60	Echs1	Enoyl-CoA hydratase, mitochondrial	P14604	3.81E-108	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	fatty acid beta-oxidation [GO:0006635]
Moderate OA (pH 7.8)	Higher	GWK47_051081	872	0.27	0.09	0.0230	1.64	AGXT	Serine--pyruvate aminotransferase	Q9W3Z3	3.89E-44	Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44)	glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]; glyoxylate catabolic process [GO:0009436]
Moderate OA (pH 7.8)	Higher	GWK47_009994	1484	0.27	0.07	0.0084	2.07		putative glycerol-3-phosphate transporter 3	Q9SB41	4.96E-32	Putative glycerol-3-phosphate transporter 2 (G-3-P transporter 2) (Glycerol-3-phosphate permease 2) (AtG3Pp2) (G-3-P permease 2) (Protein ROOT HAIR SPECIFIC 15) (AtRHS15)	phosphate ion homeostasis [GO:0055062]
Moderate OA (pH 7.8)	Higher	GWK47_008632	1259	0.27	0.08	0.0153	1.82		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_048997	3458	0.26	0.10	0.0438	1.36	NDUBA	NADH dehydrogenase [ubiquinone	Q1HPL8	6.10E-65	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	
Moderate OA (pH 7.8)	Higher	GWK47_000123	10637	0.26	0.08	0.0234	1.63	lap-2	putative aminopeptidase W07G4.4	Q27245	6.80E-71	Putative aminopeptidase W07G4.4 (EC 3.4.11.-)	proteolysis [GO:0006508]
Moderate OA (pH 7.8)	Higher	GWK47_005989	1572	0.26	0.08	0.0263	1.58	RDH11_2	Retinol dehydrogenase 11	Q17QW3	5.76E-55	Retinol dehydrogenase 14 (EC 1.1.1.300)	retinol metabolic process [GO:0042572]
Moderate OA (pH 7.8)	Higher	GWK47_003027	762	0.26	0.09	0.0375	1.43	mRpL35	39S ribosomal protein L35, mitochondrial	Q8MS27	1.23E-32	Large ribosomal subunit protein bL35m (39S ribosomal protein L35, mitochondrial) (L35mt) (MRP-L35)	mitochondrial translation [GO:0032543]
Moderate OA (pH 7.8)	Higher	GWK47_028464	704	0.26	0.08	0.0195	1.71	COG4	Conserved oligomeric Golgi complex subunit 4	Q29RB1	2.44E-161	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)	Golgi organization [GO:0007030]; protein transport [GO:0015031]; proteoglycan metabolic process [GO:0006029]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; skeletal system development [GO:0001501]
Moderate OA (pH 7.8)	Higher	GWK47_007524	2444	0.25	0.08	0.0261	1.58	Ndufb9	NADH dehydrogenase [ubiquinone	Q9CQJ8	1.24E-34	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (NADH-ubiquinone oxidoreductase B22 subunit)	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]
Moderate OA (pH 7.8)	Higher	GWK47_035555	3456	0.25	0.09	0.0380	1.42	Ndufs3	NADH dehydrogenase [ubiquinone	Q9VZU4	1.30E-101	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (NADH dehydrogenase (Ubiquinone) 30 kDa subunit)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; reactive oxygen species metabolic process [GO:0072593]
Moderate OA (pH 7.8)	Higher	GWK47_051302	1795	0.25	0.09	0.0420	1.38		Aconitate hydratase, mitochondrial	P20004	7.51E-90	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]
Moderate OA (pH 7.8)	Higher	GWK47_027395	1442	0.24	0.09	0.0432	1.36	MRPL30	39S ribosomal protein L30, mitochondrial	Q58DV5	1.01E-12	Large ribosomal subunit protein uL30m (39S ribosomal protein L30, mitochondrial) (L30mt) (MRP-L30)	translation [GO:0006412]
Moderate OA (pH 7.8)	Higher	GWK47_009993	1083	0.24	0.06	0.0041	2.38	SNX24	Sorting nexin-24	Q9Y343	1.09E-23	Sorting nexin-24	protein transport [GO:0015031]
Moderate OA (pH 7.8)	Higher	GWK47_009795	454	0.24	0.07	0.0195	1.71	TfIIS	Transcription elongation factor S-II	P20232	1.60E-60	Transcription elongation factor S-II (RNA polymerase II elongation factor DMS-II) (TFIIS)	regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation by RNA polymerase II [GO:0006368]
Moderate OA (pH 7.8)	Higher	GWK47_050528	2617	0.23	0.06	0.0105	1.98	DLD_1	Dihydrolipoyl dehydrogenase, mitochondrial	P09623	2.15E-109	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)	2-oxoglutarate metabolic process [GO:0006103]; pyruvate metabolic process [GO:0006090]
Moderate OA (pH 7.8)	Higher	GWK47_029699	504	0.23	0.08	0.0432	1.36	MED27	Mediator of RNA polymerase II transcription subunit 27	Q171Y8	1.06E-71	Mediator of RNA polymerase II transcription subunit 27 (Mediator complex subunit 27)	regulation of transcription by RNA polymerase II [GO:0006357]
Moderate OA (pH 7.8)	Higher	GWK47_030833	1087	0.22	0.08	0.0438	1.36	Cpsf100	putative cleavage and polyadenylation specificity factor subunit 2	Q9V3D6	4.95E-262	Probable cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)	co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180010]; mRNA 3'-end processing by stem-loop binding and cleavage [GO:0006398]
Moderate OA (pH 7.8)	Higher	GWK47_020456	2654	0.21	0.07	0.0432	1.36	Srsf7	Serine/arginine-rich splicing factor 7	Q3T106	2.17E-57	Serine/arginine-rich splicing factor 7 (Splicing factor, arginine/serine-rich 7)	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA transport [GO:0051028]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]
Moderate OA (pH 7.8)	Higher	GWK47_001080	5049	0.20	0.07	0.0320	1.49	U2af50	Splicing factor U2AF subunit	Q24562	1.49E-185	Splicing factor U2AF 50 kDa subunit (U2 auxiliary factor 50 kDa subunit) (U2 snRNP auxiliary factor large subunit)	mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; positive regulation of RNA export from nucleus [GO:0046833]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]
Moderate OA (pH 7.8)	Higher	GWK47_041448	501	0.19	0.07	0.0387	1.41	Tsnax	Translin-associated protein X	Q9QZE7	3.49E-57	Translin-associated protein X (Translin-associated factor X)	cell differentiation [GO:0030154]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; siRNA processing [GO:0030422]; spermatogenesis [GO:0007283]
Moderate OA (pH 7.8)	Higher	GWK47_006195	1422	0.18	0.06	0.0245	1.61	RABGGTB	Geranylgeranyl transferase type-2 subunit beta	P53611	7.53E-55	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein geranylgeranylation [GO:0018344]; protein modification process [GO:0036211]; visual perception [GO:0007601]
Moderate OA (pH 7.8)	Higher	GWK47_047701	4209	0.18	0.05	0.0139	1.86	SRSF7	Serine/arginine-rich splicing factor 7	Q3T106	1.08E-18	Serine/arginine-rich splicing factor 7 (Splicing factor, arginine/serine-rich 7)	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA transport [GO:0051028]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]
Moderate OA (pH 7.8)	Higher	GWK47_037349	12200	0.18	0.05	0.0234	1.63	EIF5A	Eukaryotic translation initiation factor 5A-1	P62924	5.37E-70	Eukaryotic translation initiation factor 5A (eIF-5A)	positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]
Moderate OA (pH 7.8)	Higher	GWK47_002361	6970	0.17	0.05	0.0321	1.49		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_024712	4913	0.16	0.05	0.0375	1.43	cpa	F-actin-capping protein subunit alpha	Q9W2N0	1.58E-116	F-actin-capping protein subunit alpha	actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; barbed-end actin filament capping [GO:0051016]; germarium-derived oocyte fate determination [GO:0007294]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of filopodium assembly [GO:0051490]; negative regulation of JNK cascade [GO:0046329]; nuclear envelope budding [GO:0140591]; positive regulation of filopodium assembly [GO:0051491]; regulation of filopodium assembly [GO:0051489]; regulation of lamellipodium assembly [GO:0010591]; wing disc development [GO:0035220]
Moderate OA (pH 7.8)	Higher	GWK47_044723	4347	0.15	0.05	0.0392	1.41	Xpnpep1_2	Xaa-Pro aminopeptidase 1	Q9NQW7	7.25E-236	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	bradykinin catabolic process [GO:0010815]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]
Moderate OA (pH 7.8)	Higher	GWK47_003902	4310	0.15	0.05	0.0321	1.49	CAPZB	F-actin-capping protein subunit beta isoforms 1 and 2	P14315	1.01E-167	F-actin-capping protein subunit beta isoforms 1 and 2 (Beta-actinin subunit II) (CapZ 36/32) (CapZ B1 and B2)	actin polymerization or depolymerization [GO:0008154]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; cytoskeleton organization [GO:0007010]; lamellipodium assembly [GO:0030032]; negative regulation of filopodium assembly [GO:0051490]; regulation of cell morphogenesis [GO:0022604]; regulation of lamellipodium assembly [GO:0010591]
